customer_id,first_name,last_name,email,signup_date
C00001,Michael,Miller,michael.miller1@test.net,2023-01-03
C00002,David,Brown,david.brown2@test.net,2023-10-01
C00003,David,Brown,david.brown3@example.com,2023-09-29
C00004,John,Doe,john.doe4@test.net,2022-04-02
C00005,Michael,Doe,michael.doe5@test.net,2023-01-02
C00006,Linda,Davis,linda.davis6@demo.org,2024-06-19
C00007,Bob,Brown,bob.brown7@test.net,2024-01-02
C00008,Linda,Smith,linda.smith8@test.net,2022-01-05
C00009,Jane,Taylor,jane.taylor9@test.net,2022-08-08
C00010,Michael,Davis,michael.davis10@test.net,2022-02-23
C00011,Chris,Johnson,chris.johnson11@example.com,2023-02-23
C00012,Alice,Williams,alice.williams12@demo.org,2023-01-28
C00013,John,Brown,john.brown13@example.com,2022-03-21
C00014,Jane,Wilson,jane.wilson14@demo.org,2022-10-23
C00015,Bob,Doe,bob.doe15@example.com,2023-04-25
C00016,Jane,Davis,jane.davis16@example.com,2023-07-07
C00017,David,Johnson,david.johnson17@demo.org,2024-04-10
C00018,Michael,Taylor,michael.taylor18@demo.org,2023-10-25
C00019,Susan,Moore,susan.moore19@demo.org,2023-12-29
C00020,Michael,Williams,michael.williams20@test.net,2023-07-18
C00021,Jane,Davis,jane.davis21@test.net,2022-12-27
C00022,Alice,Brown,alice.brown22@example.com,2024-05-08
C00023,Michael,Davis,michael.davis23@test.net,2023-02-06
C00024,Michael,Williams,michael.williams24@test.net,2024-07-18
C00025,Chris,Davis,chris.davis25@demo.org,2024-05-14
C00026,Bob,Doe,bob.doe26@demo.org,2022-08-03
C00027,Bob,Brown,bob.brown27@test.net,2022-03-28
C00028,Bob,Moore,bob.moore28@example.com,2024-01-03
C00029,Susan,Smith,susan.smith29@test.net,2023-08-27
C00030,David,Moore,david.moore30@example.com,2023-06-30
C00031,Jane,Taylor,jane.taylor31@test.net,2024-07-04
C00032,Michael,Williams,michael.williams32@test.net,2023-01-22
C00033,David,Smith,david.smith33@demo.org,2023-07-24
C00034,Bob,Miller,bob.miller34@demo.org,2022-07-22
C00035,Jane,Doe,jane.doe35@demo.org,2022-03-13
C00036,David,Wilson,david.wilson36@demo.org,2022-06-22
C00037,David,Williams,david.williams37@example.com,2024-08-08
C00038,Patricia,Davis,patricia.davis38@test.net,2023-09-28
C00039,Alice,Smith,alice.smith39@test.net,2022-11-17
C00040,Linda,Johnson,linda.johnson40@demo.org,2023-02-06
C00041,Patricia,Taylor,patricia.taylor41@demo.org,2022-09-05
C00042,Susan,Smith,susan.smith42@test.net,2024-07-09
C00043,Patricia,Davis,patricia.davis43@demo.org,2024-09-02
C00044,Susan,Davis,susan.davis44@example.com,2023-12-09
C00045,John,Taylor,john.taylor45@demo.org,2022-04-14
C00046,Chris,Doe,chris.doe46@test.net,2022-06-20
C00047,Michael,Davis,michael.davis47@example.com,2022-03-29
C00048,Linda,Williams,linda.williams48@demo.org,2022-03-05
C00049,Alice,Johnson,alice.johnson49@test.net,2023-10-04
C00050,Susan,Williams,susan.williams50@demo.org,2024-04-28
C00051,Michael,Brown,michael.brown51@demo.org,2023-07-21
C00052,Alice,Doe,alice.doe52@example.com,2024-01-10
C00053,Susan,Doe,susan.doe53@test.net,2024-03-06
C00054,John,Brown,john.brown54@test.net,2023-02-14
C00055,Susan,Smith,susan.smith55@test.net,2022-03-24
C00056,Jane,Williams,jane.williams56@example.com,2023-09-29
C00057,Bob,Moore,bob.moore57@demo.org,2022-12-11
C00058,David,Brown,david.brown58@test.net,2024-03-24
C00059,John,Wilson,john.wilson59@example.com,2023-03-10
C00060,John,Johnson,john.johnson60@example.com,2024-02-26
C00061,Michael,Davis,michael.davis61@test.net,2022-01-02
C00062,Jane,Moore,jane.moore62@test.net,2023-09-28
C00063,Patricia,Miller,patricia.miller63@test.net,2022-03-01
C00064,John,Wilson,john.wilson64@test.net,2022-12-24
C00065,Susan,Johnson,susan.johnson65@example.com,2024-03-11
C00066,Susan,Wilson,susan.wilson66@test.net,2022-04-29
C00067,David,Taylor,david.taylor67@example.com,2022-03-12
C00068,Chris,Johnson,chris.johnson68@demo.org,2024-06-14
C00069,Michael,Johnson,michael.johnson69@example.com,2022-09-06
C00070,Michael,Davis,michael.davis70@demo.org,2022-01-26
C00071,David,Taylor,david.taylor71@test.net,2022-09-18
C00072,Jane,Davis,jane.davis72@demo.org,2023-05-25
C00073,Susan,Wilson,susan.wilson73@example.com,2022-11-28
C00074,Linda,Wilson,linda.wilson74@example.com,2024-03-22
C00075,David,Miller,david.miller75@demo.org,2023-07-31
C00076,Chris,Davis,chris.davis76@test.net,2024-01-14
C00077,Patricia,Davis,patricia.davis77@test.net,2024-05-15
C00078,Jane,Johnson,jane.johnson78@demo.org,2022-09-21
C00079,Linda,Johnson,linda.johnson79@test.net,2023-02-22
C00080,David,Brown,david.brown80@demo.org,2024-07-31
C00081,Patricia,Miller,patricia.miller81@demo.org,2023-04-12
C00082,John,Brown,john.brown82@demo.org,2023-10-22
C00083,Susan,Brown,susan.brown83@demo.org,2023-02-22
C00084,John,Williams,john.williams84@demo.org,2022-03-02
C00085,Patricia,Taylor,patricia.taylor85@demo.org,2024-05-31
C00086,Michael,Williams,michael.williams86@example.com,2023-09-25
C00087,Linda,Johnson,linda.johnson87@demo.org,2024-01-11
C00088,Chris,Miller,chris.miller88@demo.org,2023-03-09
C00089,Patricia,Smith,patricia.smith89@example.com,2023-01-08
C00090,John,Brown,john.brown90@example.com,2022-01-15
C00091,Susan,Davis,susan.davis91@demo.org,2023-09-14
C00092,Chris,Moore,chris.moore92@example.com,2022-09-16
C00093,Alice,Moore,alice.moore93@demo.org,2024-08-07
C00094,Susan,Williams,susan.williams94@test.net,2023-07-21
C00095,Patricia,Davis,patricia.davis95@test.net,2022-03-20
C00096,Jane,Davis,jane.davis96@example.com,2022-12-18
C00097,Susan,Wilson,susan.wilson97@test.net,2022-01-03
C00098,Bob,Taylor,bob.taylor98@demo.org,2023-04-18
C00099,Jane,Davis,jane.davis99@demo.org,2023-05-19
C00100,David,Davis,david.davis100@demo.org,2023-04-25
C00101,David,Miller,david.miller101@example.com,2023-06-09
C00102,Chris,Brown,chris.brown102@test.net,2023-07-31
C00103,John,Johnson,john.johnson103@test.net,2022-12-28
C00104,Bob,Doe,bob.doe104@demo.org,2024-06-27
C00105,Patricia,Wilson,patricia.wilson105@demo.org,2024-03-13
C00106,Susan,Doe,susan.doe106@test.net,2022-12-11
C00107,Chris,Smith,chris.smith107@test.net,2022-04-15
C00108,Susan,Williams,susan.williams108@demo.org,2023-12-18
